ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR-A,HTR-D,HTR-H,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,HHGames,HAGames,AAGames,AHGames,HHWins,AHWins,AAWins,HAWins,HHShots,HHShotsTarget,HHCorners,HAShots,HAShotsTarget,HACorners,AHShots,AHShotsTarget,AHCorners,AAShots,AAShotsTarget,AACorners
1,8/16/2003 12:00:00 AM,Arsenal,Everton,2,1,H,1,0,0,0,1,M Halsey,11,13,5,7,8,15,6,9,1,3,1,1,2003-2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8/16/2003 12:00:00 AM,Leicester,Southampton,2,2,D,2,0,0,0,1,M Riley,12,13,7,10,27,15,2,7,3,1,0,0,2003-2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8/17/2003 12:00:00 AM,Liverpool,Chelsea,1,2,A,0,1,1,0,0,S Bennett,12,10,7,6,13,12,8,6,3,1,0,0,2003-2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8/23/2003 12:00:00 AM,Chelsea,Leicester,2,1,H,2,1,0,0,1,R Styles,17,5,7,1,12,18,7,2,0,3,1,2,2003-2004,0,1,0,1,0,0,0,0,0,0,0,10,6,6,13,10,7,0,0,0
5,8/24/2003 12:00:00 AM,Middlesbrough,Arsenal,0,4,A,0,3,1,0,0,D Gallagher,10,14,4,10,11,7,3,5,1,0,0,0,2003-2004,0,0,0,1,0,1,0,0,0,0,0,0,0,0,13,7,9,0,0,0
6,8/26/2003 12:00:00 AM,Leicester,Middlesbrough,0,0,D,0,0,0,1,0,G Barber,12,13,4,3,17,16,6,4,3,2,0,0,2003-2004,1,1,0,1,0,0,0,1,12,7,2,5,1,2,14,10,5,0,0,0
7,8/27/2003 12:00:00 AM,Liverpool,Tottenham,0,0,D,0,0,0,1,0,U Rennie,22,9,10,4,20,27,8,5,2,5,0,0,2003-2004,1,0,0,0,0,0,0,0,12,7,8,0,0,0,0,0,0,0,0,0
8,8/30/2003 12:00:00 AM,Everton,Liverpool,0,3,A,0,1,1,0,0,M Riley,11,18,5,11,22,17,9,5,3,3,0,0,2003-2004,0,1,0,2,0,0,0,1,0,0,0,13,7,9,9.5,5,5.5,0,0,0
9,8/31/2003 12:00:00 AM,Man City,Arsenal,1,2,A,1,0,0,0,1,G Poll,11,10,7,5,12,11,5,5,4,3,0,0,2003-2004,0,0,1,1,0,1,0,0,0,0,0,0,0,0,13,7,9,14,10,5
10,8/31/2003 12:00:00 AM,Southampton,Man United,1,0,H,0,0,0,1,0,M Halsey,12,10,5,9,8,10,9,5,1,0,0,0,2003-2004,0,1,0,0,0,0,0,0,0,0,0,13,10,7,0,0,0,0,0,0
