ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR-A,HTR-D,HTR-H,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,HHGames,HAGames,AAGames,AHGames,HHWins,AHWins,AAWins,HAWins,HHShots,HHShotsTarget,HHCorners,HAShots,HAShotsTarget,HACorners,AHShots,AHShotsTarget,AHCorners,AAShots,AAShotsTarget,AACorners
1,21/01/2017,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,2,5,4,4,2,2,2,3,28.420232,11.761349,10.126185,17.283367,5.469031,8.212262,9.115458,3.210376,3.081837,12.192212,5.394159,4.929675
2,21/01/2017,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,4,4,4,4,3,2,2,1,17.577325,7.047339,5.566333,9.691024,2.447625,4.970323,14.242259,5.99886,3.610158,6.690125,2.872768,5.313723
3,21/01/2017,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,4,4,4,4,1,1,1,1,14.163484,4.234166,7.501354,11.991029,2.61286,7.385992,13.624285,4.635256,8.65432,8.048362,3.461584,2.060494
4,21/01/2017,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,4,4,4,4,0,0,4,3,9.7882222,2.857407,4.446224,8.282644,2.349026,4.103347,17.548431,2.096058,4.031079,12.970043,3.799455,5.209236
5,21/01/2017,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,4,4,3,4,1,0,0,1,15.519016,4.460802,6.641144,8.34568,4.462204,2.934759,20.026353,7.432527,9.990788,17.261448,4.149488,6.069197
6,21/01/2017,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,4,4,4,4,1,1,2,2,8.984282,4.076212,4.692164,14.53307,5.222151,5.276757,9.375095,2.658002,5.558,8.915716,1.515408,3.826328
7,21/01/2017,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,4,4,4,4,3,4,0,0,19.261301,7.86864,10.120587,13.838605,5.65546,4.241193,16.563944,6.733074,6.483788,19.09632,7.065241,8.135566
8,22/01/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,4,4,3,5,3,2,2,3,15.058214,5.186586,5.823245,17.437872,4.674764,5.22329,10.113379,1.829122,3.414344,6.203114,1.057577,3.536195
9,22/01/2017,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,4,4,4,4,3,2,1,2,16.115904,6.192116,7.685137,19.625089,7.003345,6.294061,8.282382,2.90254,3.946533,9.554056,3.349026,4.221793
10,22/01/2017,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,4,4,4,4,2,1,3,3,27.956123,10.846793,7.2162623,12.414855,5.271132,4.012176,10.29352,2.532171,3.718757,8.158832,1.441738,5.231624
